STOCK;PRODUCTOS;PRECIO;SIN IGV;;;
0;Cautín tipo lapicero kamasa;20.00;16.95;;;
0;Cemento;1.00;23.73;;;
0;Cemento blanco;4.00;3.39;;;
0;Cemento y yeso;6.00;5.08;;;
0;Cemento yura;26.00;23.73;;;
0;Cepillo de alambre;8.00;6.78;;;
0;Cera al agua;11.50;9.75;;;
0;Cera amarilla galon tekmisur;15.00;12.71;;;
0;Cera litro;6.50;5.51;;;
0;Cera roja galón tekmisur;16.00;13.56;;;
0;Cera sapolio;4.50;3.81;;;
0;Chapa cantol;85.00;72.03;;;
0;Chapa eco;20.00;16.95;;;
0;Chapa escritorio phelix;5.00;4.24;;;
0;chapa Forte 240;70.00;59.32;;;
0;Chapa perilla escolta;28.00;23.73;;;
0;Chapa travex 134;48.00;40.68;;;
0;Chema blanco;36.00;30.51;;;
0;Chema clean;27.00;22.88;;;
0;Chema clean;17.00;14.41;;;
0;Chema gris azul;18.50;15.68;;;
0;Chema primer;34.00;28.81;;;
0;Chema top 1/4;22.00;18.64;;;
0;Chema verde;27.00;22.88;;;
0;Chica verano;3.50;2.97;;;
0;Chinchex100;3.00;2.54;;;
0;Chisguete;2.00;1.69;;;
0;cierra aceros Arequipa;6.00;5.08;;;
0;cierra círculos X 3;15.00;12.71;;;
0;Cierra copa profield;13.00;11.02;;;
0;Cierra eco;2.00;5.08;;;
0;Cierra sanflex;7.00;5.93;;;
0;Cif multiuso;13.50;11.44;;;
0;Cincel;7.00;5.93;;;
0;Cinta aislante 3m;4.50;3.81;;;
0;Cinta aislante 3m;3.00;3.39;;;
0;Cinta aislante truper;3.00;3.39;;;
0;Cinta antideslizante;14.00;11.86;;;
0;Cinta doble contacto 3m;26.00;22.03;;;
0;Cinta doble contacto pretul;7.50;6.36;;;
0;Cinta doble contacto truper;12.00;10.17;;;
0;Cinta doble faz 3m;25.00;21.19;;;
0;Cinta ducto;7.50;6.36;;;
0;Cinta ducto maxtool;7.30;6.19;;;
0;Cinta embalaje;5.50;4.66;;;
0;Cinta maskin 1 1/2;7.50;6.36;;;
0;Cinta maskin 3/4;4.50;3.81;;;
0;Cinta masking 1;6.00;5.08;;;
0;Cinta masking 2;9.00;7.63;;;
0;Cinta metrica 30m asaky;14.00;11.86;;;
0;Cinta metrica 50m asaky;20.00;16.95;;;
0;Cinta prohibido truper;15.00;12.71;;;
0;Cintillo 10cm;6.00;5.08;;;
0;Cintillo 15cm;8.50;6.36;;;
0;Cintillo 20cm;12.00;10.17;;;
0;Cintillo blanco 10cm;5.00;4.24;;;
0;Cintillo blanco 15cm;8.00;6.78;;;
0;Clavo 2 1/2;2.50;2.12;;;
0;Clavo de madera;8.00;6.78;;;
0;Clavos;1.00;0.85;;;
0;Clavos;6.00;5.08;;;
0;Clavos y grampas;6.50;5.51;;;
0;Cocodrilo pretul;11.00;9.32;;;
0;Codo 1/2 sr;2.00;1.69;;;
0;Codo 1/2×45;1.30;1.10;;;
0;Codo 1/2x90;1.30;1.10;;;
0;Codo 2x45;2.00;1.69;;;
0;Codo 2x90;2.00;1.69;;;
0;Codo 3/4x45;2.20;1.86;;;
0;Codo 3/4x90;2.30;1.86;;;
0;Codo 3x45;6.00;5.08;;;
0;Codo 3x90;6.00;5.08;;;
0;Codo 4x45;8.00;6.78;;;
0;Codo 4x90;8.00;6.78;;;
0;Codo injerto 1/2 tigre;9.00;7.63;;;
0;Codo injerto inyectoplast;7.50;5.93;;;
0;Codo y union;5.00;4.24;;;
0;Cola sintética;5.00;4.24;;;
0;Cola sintetica losaro;32.00;27.12;;;
0;Cola sintética pecsa;10.00;8.47;;;
0;Cola tekno;13.00;11.02;;;
0;Colgador ropa;10.00;8.47;;;
0;Combo 3libras uyustools;27.00;22.88;;;
0;Conector 3/4;3.50;2.97;;;
0;Conector manguera pvc;2.40;2.03;;;
0;Conector metusa;5.50;4.66;;;
0;Copia de llave;3.00;2.54;;;
0;Cordel;1.00;0.85;;;
0;Cordel ropa 20m;10.00;8.47;;;
0;Corredera telescopica;22.00;18.64;;;
0;Corta tubo truper;25.00;21.19;;;
0;Corta tubo uyustools;26.00;22.03;;;
0;Corta vidrio;10.00;8.47;;;
0;Corta vidrio aksi;13.00;11.02;;;
0;Cortador vidrio wadfow;10.00;8.47;;;
0;Cruzeta;5.00;3.39;;;
0;Cuchilla eco wadfow;4.50;3.81;;;
0;Cuchilla mayólica uyustools;16.00;13.56;;;
0;Cuchilla wadfow;10.00;8.47;;;
0;Cuello ganzo schubert;19.00;16.10;;;
0;Curva 1;1.00;0.85;;;
0;Curva luz 3/4;0.50;6.78;;;
0;Curva luz 5/8;0.50;0.42;;;
0;Cuter;4.50;3.81;;;
0;Cuter cya;9.00;7.63;;;
0;Cuter eco;1.20;1.02;;;
0;Cuter uyustools;10.00;11.02;;;
0;Dado 11;5.00;4.24;;;
0;Dado 19;10.00;8.47;;;
0;Dado taladro 5/16;5.00;4.24;;;
0;Desagüe metusa;25.00;21.19;;;
0;Desagüe push con rebose metusa;44.00;37.29;;;
0;Desague push cromado s/rebose;42.00;35.59;;;
0;Desarmador 1/4*8;7.50;6.36;;;
0;Desarmador 1/8*8;6.50;5.51;;;
0;Desarmador 3/16*8;7.00;5.93;;;
0;Desarmador grande a;4.50;4.66;;;
0;Desarmador joyero 28p truper;24.00;20.34;;;
0;Desarmador mediano a;3.70;3.14;;;
0;Desarmador pequeño a;2.30;1.95;;;
0;"Desarmador ph3 10"" kamasa";9.00;7.63;;;
0;Desarmador uyustools;6.00;5.08;;;
0;Desarmadores relojero maxtool;12.00;10.17;;;
0;Desatorador jebe;5.00;4.24;;;
0;Desatorador sapolio;11.00;9.32;;;
0;Detergente patito 140;1.30;1.10;;;
0;Detergente patito 640;5.00;4.24;;;
0;Diafragma metusa;10.50;8.90;;;
0;Diafragma sani;9.00;10.17;;;
0;Dicroico;8.50;7.20;;;
0;Disco cemento 4;10.00;8.47;;;
0;Disco cemento 6;15.00;12.71;;;
0;Disco cemento 7 uyustool;21.00;17.80;;;
0;Disco cemento 9;35.00;29.66;;;
0;Disco ceramico 4;10.00;8.47;;;
0;Disco corte 4 norton;5.00;4.24;;;
0;Disco corte 7 norton;9.50;8.05;;;
0;Disco flap;7.00;5.93;;;
0;Disco lijar 4;9.00;7.63;;;
0;Disco madera 4;10.00;8.47;;;
0;Disco mayolica uyustools 4;10.00;8.47;;;
0;Disco metal 9;13.00;10.17;;;
0;disco removedor 4 UYUSTOOLS;17.00;14.41;;;
0;Driza;0.80;0.68;;;
0;Driza 5/16;24.00;20.34;;;
0;Ducha lorenzetti;56.00;47.46;;;
0;Ducha metusa;28.00;23.73;;;
0;Electrodo;19.00;16.10;;;
0;Embudo truper;8.50;7.20;;;
0;Encendedor cocina;7.00;5.93;;;
0;Encerador esponja;2.00;1.69;;;
0;Enchufe colores;2.50;2.12;;;
0;Enchufe industrial;5.00;4.24;;;
0;Enchufe negro;1.50;1.27;;;
0;Escoba doña tula;8.50;7.20;;;
0;Escoba eco;10.00;8.47;;;
