STOCK;PRODUCTOS;PRECIO;SIN IGV;;;
0;Remachadora UYUSTOOLS;20.00;16.95;;;
0;Remaches;6.00;5.08;;;
0;Removedor chema;26.00;22.03;;;
0;Repuesto botón op;14.00;11.86;;;
0;Repuesto cesta fregadero;7.00;5.93;;;
0;Repuesto de limpia vidrio sapolio;4.50;3.81;;;
0;Repuesto lijar 4;6.00;5.08;;;
0;Resistencia t peine lorenzetty;15.00;12.71;;;
0;Rodillo 7 truper;10.00;8.47;;;
0;Rodillo 9 aksi;14.00;11.86;;;
0;Rodillo 9 blanco truper;10.00;8.47;;;
0;Rodillo 9 microfibra;15.00;12.71;;;
0;Rodillo 9 naranja truper;12.00;10.17;;;
0;Rodillo antigoteo;16.00;13.56;;;
0;Rodillo halcon;10.00;8.47;;;
0;Rodillo toro;19.00;16.10;;;
0;Rodon aluminio mate;14.00;11.86;;;
0;Ron de quemar;10.00;8.47;;;
0;Saca oxido quisol;17.00;14.41;;;
0;Saco;0.50;0.42;;;
0;Saco de arena fina;6.00;5.08;;;
0;Saco nuevo;1.40;1.10;;;
0;Sellador cpp;32.00;27.12;;;
0;Sellador oriental;20.00;16.95;;;
0;Sellador oriental;20.00;16.95;;;
0;Serrucho;18.00;15.25;;;
0;Serrucho 18;25.00;21.19;;;
0;Sika 1;10.00;8.47;;;
0;Sika boom;45.00;38.14;;;
0;Sikaflex cartucho;32.00;30.51;;;
0;Sikaflex salchicha;42.00;32.63;;;
0;Silicona;10.00;8.47;;;
0;Silicona auto;10.00;8.47;;;
0;Silicona hardman;9.00;8.47;;;
0;Silicona negra shark;10.00;8.47;;;
0;Silicona pasta;5.00;4.24;;;
0;Silicona sika;12.00;10.17;;;
0;Silicona sika;12.50;11.02;;;
0;Silicona sika blanco;14.00;11.86;;;
0;Soda caustica;8.50;7.20;;;
0;Soda caustica granos;11.00;9.32;;;
0;soldadura 3/32 FACILITO;18.00;15.25;;;
0;Soldadura punto azul 1/8;19.00;16.10;;;
0;Soldimix;10.00;8.47;;;
0;Soldimix c contacto;5.50;4.66;;;
0;Solgas completo;32.00;27.12;;;
0;Solgas manguera y valvula;32.00;27.12;;;
0;Sombrero de venti. 2;5.00;4.24;;;
0;Soquet aéreo;2.00;1.69;;;
0;Soquet de dicroico;2.50;2.12;;;
0;Soquet ovalado ultra;5.50;4.66;;;
0;Soquet pared opalux;3.50;2.97;;;
0;Soquet plano opalux;6.00;5.08;;;
0;Soquet plano ultra;4.00;3.39;;;
0;Soquet tema;5.00;4.24;;;
0;Spack 5x40;1.50;0.85;;;
0;Sumidero 2;5.00;4.24;;;
0;Sumidero 2 metusa;15.00;12.71;;;
0;Sumidero 3;9.50;7.63;;;
0;Sumidero 3 a 2;12.00;10.17;;;
0;Sumidero 4;12.00;10.17;;;
0;Superglue;1.00;0.85;;;
0;Supresor de pico;30.00;25.42;;;
0;Supresor de pico 3m profield;27.00;22.88;;;
0;Talco americano;4.00;3.39;;;
0;Tapa ciega;1.00;0.85;;;
0;Tapa oído;2.00;1.69;;;
0;Tapa registro 25×25;18.00;15.25;;;
0;Tapon 1/2;1.00;0.85;;;
0;Tapon 2;4.00;3.39;;;
0;Tapon 3/4;1.50;1.69;;;
0;Tarraja 1/2;11.50;9.75;;;
0;Tarraja 3/4;13.00;13.56;;;
0;Tarraja fierro 1/2;13.00;11.02;;;
0;Tarugo azul;1.50;1.27;;;
0;Tarugo azul;7.00;5.93;;;
0;Tarugo naranja;2.00;1.69;;;
0;Tarugo negro;1.50;1.27;;;
0;Tarugo plomo;4.00;3.39;;;
0;Tarugo rojo,verde;1.00;0.85;;;
0;Tee 1;5.00;4.24;;;
0;Tee 1/2;2.00;1.69;;;
0;Tee 1/2 sr;2.00;1.69;;;
0;Tee 2;4.00;3.39;;;
0;Tee 3;8.00;6.78;;;
0;Tee 3/4;3.00;2.54;;;
0;Tee 3/4;3.50;2.97;;;
0;Tee 3/4 sr;4.00;3.39;;;
0;Tee 3a2;7.00;5.93;;;
0;Tee 4;11.00;9.32;;;
0;Tee 4a2;8.50;7.63;;;
0;Tee injerto;9.50;8.05;;;
0;Tee sanitario 2;5.00;4.24;;;
0;Tee sanitario 4;12.00;10.17;;;
0;Teflon;8.00;7.20;;;
0;Teflon 1/2;1.00;0.85;;;
0;Teflon 3/4;2.00;1.27;;;
0;Teflon amarillo;2.50;2.54;;;
0;Temple 5k;11.00;9.32;;;
0;Termomagnetica tramontina 63apr;42.00;35.59;;;
0;Terokal tekno;7.50;6.36;;;
0;Thiner acrilico galon;18.00;16.10;;;
0;Thiner anypsa gln;19.50;16.53;;;
0;Thiner botella pequeña;5.00;4.24;;;
0;thiner L;10.00;8.47;;;
0;Tijera;7.50;6.36;;;
0;Tijera;6.50;5.51;;;
0;Tijera p/ podar kamasa;26.00;22.03;;;
0;Timbre;25.00;21.19;;;
0;Timbre campanilla vera;20.00;16.95;;;
0;timbre Din don vera;22.00;18.64;;;
0;Tinte al alcohol;23.50;19.92;;;
0;Tirafon 1/4x2;5.00;4.24;;;
0;Tiralinea metal UYUSTOOLS;12.00;10.17;;;
0;Tiza blanca;6.00;5.08;;;
0;Tiza blanca;0.50;0.42;;;
0;Tiza color;7.50;6.36;;;
0;Tiza en polvo;4.00;3.39;;;
0;Toma bticino;13.00;11.02;;;
0;Toma doble  c/ tierra ultra;5.50;5.08;;;
0;Toma doble bticino;21.00;17.80;;;
0;Toma doble ultra;5.50;8.47;;;
0;Toma mixto ultra;5.50;4.66;;;
0;Toma sapito;3.00;2.54;;;
0;Toma simple ultra;5.50;4.66;;;
0;Toma sobreponer;5.00;4.24;;;
0;Toma triple sobreponer;5.00;4.24;;;
0;Toma triple tramontina;10.00;8.47;;;
0;Toma triple ultra;5.50;4.66;;;
0;Tornillos y tarugos;3.00;1.69;;;
0;Torpedo 9 maxtool;11.50;9.75;;;
0;Trampa 2 inyectoplast;9.50;8.05;;;
0;Trampa 2 inyectoplast ploma;11.00;9.32;;;
0;Trampa botella metusa;13.00;11.86;;;
0;Trampa botella sani;12.00;10.17;;;
0;Trampa botella sani;12.00;10.17;;;
0;Trampa corrugada metusa;20.00;16.10;;;
0;Trampa cromada corrugada;12.50;10.59;;;
0;trampa FM;10.00;8.47;;;
0;trampa FM corrugado;12.00;15.25;;;
0;Trampa p cromada;35.00;29.66;;;
0;Trampa p fratelli;14.00;11.86;;;
0;trampa P metusa;15.00;12.71;;;
0;Trampa ratón adhesiva;4.50;3.81;;;
0;Trampa u + desagüe metusa;16.00;13.56;;;
0;Trampa y desagüe metusa;17.00;14.41;;;
0;Trapeador microfibra;7.00;5.93;;;
0;Trapeador yute;4.00;3.39;;;
0;Trapo amarillo;1.00;0.85;;;
0;Trapo micro chico;2.50;2.12;;;
0;Trapo microfibra;7.00;5.93;;;
0;Triple opalux;7.50;6.36;;;
0;Triple ultra;3.00;2.54;;;
0;Triz;6.00;5.08;;;
0;Trompo caño jardinero;0.50;0.42;;;
0;Tubo 1/2;4.00;3.39;;;
0;Tubo 1/2 h3 INYECTOPLAST;28.00;23.73;;;
0;Tubo 1/2 inyectoplast;14.00;13.56;;;
0;Tubo 2 inyectoplast;12.00;11.02;;;
0;Tubo 3 pvc;18.00;15.25;;;
0;Tubo 3/4 hidro tigre;40.00;33.90;;;
0;Tubo 3/4 pvc;20.00;16.95;;;
0;Tubo 3/4 pvc plastisur;23.00;19.49;;;
0;Tubo 4 pvc;23.00;19.49;;;
0;tubo abasto Magnus 1/2 60cm;17.00;14.41;;;
0;Tubo de abasto 1/2;12.00;10.17;;;
0;Tubo de abasto 7/8;12.00;10.17;;;
0;Tubo luz 1;6.50;5.51;;;
0;Tubo luz 3/4;4.50;3.81;;;
0;Tubo luz 5/8;3.50;2.97;;;
0;Uhu pegamento;10.50;8.90;;;
0;Ultra brillo cif;14.50;12.29;;;
0;Unión 2;2.50;2.12;;;
0;Unión 3;5.00;4.24;;;
0;Unión 3/4 sr;2.80;2.37;;;
0;Union injerto 1/2;10.00;8.47;;;
0;Union mixta;3.00;2.54;;;
0;Union simple 1/2;1.50;1.27;;;
0;Union simple 3/4;2.00;1.69;;;
0;Unión simple 3/4;2.50;2.12;;;
0;Union simple s/r 3/4;3.00;2.54;;;
0;Universal 1/2;3.50;2.97;;;
0;Universal 1/2 sr;4.50;3.81;;;
0;Universal 3/4;4.00;3.39;;;
0;Universal inyectoplast 1/2;3.50;2.54;;;
0;Universal inyectoplast 3/4;5.00;4.24;;;
0;Upr 1/2;2.00;1.27;;;
0;Upr 3/4;2.50;2.12;;;
0;Válvula de gas bp;26.00;22.03;;;
0;Válvula de gas bp premium solgas;28.00;23.73;;;
0;Valvula ingreso metusa;30.00;25.42;;;
0;Veneno campeón;5.00;4.24;;;
0;Veneno campeón;4.00;3.39;;;
0;Virutex;3.00;2.54;;;
0;Waype blanco;16.00;14.41;;;
0;Waype color;12.00;10.17;;;
0;Ye 3a2;8.00;6.78;;;
0;Ye 4a3;13.00;11.02;;;
0;Yee 2;4.00;3.39;;;
0;Yee 3;9.00;7.63;;;
0;Yee 4;14.00;11.86;;;
0;Yee 4a2;9.00;7.63;;;
0;Yee 4a3;13.00;11.02;;;
0;Yeso;1.00;0.85;;;
0;Yeso ceramico;4.00;3.39;;;
0;Yeso x 15k;12.00;9.32;;;
